Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
FNDX,Schwab Fundamental U.S. Large Company ETF,"$17,018,200",15.39%,"433,328",$70.83,-1.01%,0.48%,1.23%,28.75%,10.74%,14.82%,"$1,464,274,000.00","$34,569,000.00","$111,246,500.00","$2,066,143,500.00","$6,169,102,000.00","$6,311,562,500.00",Large Cap Blend Equities,2013-08-15,0.25%,Charles Schwab,$1.20,2024-06-26,$0.32,1.67%,13.55,1.00,736,20.26%,40%,20%,1099,$68.24,$72.00,$70.64,$71.13,58.06,A,A,A-,B,B,B+,A,6.49,17.55%,47.74%,138.7,10.27%,2.87%
JEPQ,JPMorgan NASDAQ Equity Premium Income ETF,"$16,532,500",16.89%,"3,046,511",$54.73,0.04%,2.17%,3.28%,29.99%,N/A,N/A,"$7,089,154,500.00","$101,824,250.00","$468,956,000.00","$9,612,596,750.00","$14,968,072,700.00","$14,968,072,700.00",Large Cap Blend Equities,2022-05-03,0.35%,N/A,$5.08,2024-09-03,$0.56,9.29%,21.76,-0.84,88,51.79%,40%,20%,1099,$51.47,$55.13,$54.65,$54.81,61.44,A+,A,B+,A,B+,A,N/A,6.78,82.87%,59.62%,72.23,6.80%,8.34%
NOBL,ProShares S&P 500 Dividend Aristocrats ETF,"$12,651,300",11.72%,"482,183",$105.35,-1.12%,0.00%,1.67%,20.56%,7.07%,10.50%,"-$425,923,720.00",$0.00,"-$106,650.00","-$377,469,765.00","$1,974,731,684.92","$3,704,603,969.92",Large Cap Blend Equities,2013-10-09,0.35%,Charles Schwab,$2.11,2024-06-26,$0.55,1.98%,19.03,0.89,67,16.85%,40%,20%,1099,$102.74,$106.75,$104.96,$106.04,59.73,A-,A,B+,B-,B+,B+,N/A,6.82,70.08%,61.76%,132.03,4.52%,4.96%
RDVY,First Trust Rising Dividend Achievers ETF,"$12,009,800",13.94%,"701,962",$58.36,-0.80%,0.60%,0.76%,30.03%,8.33%,15.01%,"$1,438,332,550.00","$26,449,650.00","$115,550,400.00","$1,715,319,600.00","$4,643,505,856.50","$8,738,315,205.00",Large Cap Blend Equities,2014-01-06,0.49%,N/A,$1.05,2024-06-27,$0.26,1.80%,11.34,1.15,51,20.62%,40%,20%,1099,$55.61,$59.67,$58.12,$58.73,56.14,B-,A,B,B+,C,B-,C,6.5,18.80%,48.14%,90.32,0.00%,2.02%
SCHV,Schwab U.S. Large-Cap Value ETF,"$11,818,300",14.52%,"323,115",$79.39,-1.15%,0.09%,1.13%,25.28%,7.08%,9.82%,"-$73,763,000.00","-$1,995,000.00","$25,243,000.00","$123,040,500.00","$454,289,000.00","$2,068,435,000.00",Large Cap Blend Equities,2009-12-11,0.04%,Charles Schwab,$1.73,2024-06-26,$0.44,2.16%,15.68,0.94,525,18.44%,40%,20%,1099,$77.16,$80.59,$79.13,$79.81,58.28,A,A,A,C+,B+,A,B+,6.56,24.27%,50.32%,169.64,12.87%,2.76%
FVD,First Trust Value Line Dividend Index Fund,"$9,801,330",12.66%,"721,752",$45.18,-0.62%,0.31%,1.85%,22.38%,6.35%,7.79%,"-$2,086,908,350.00","-$22,554,600.00","-$120,631,800.00","-$2,977,765,600.00","-$3,256,352,650.00","-$552,279,206.94",Large Cap Blend Equities,2006-12-18,0.60%,N/A,$0.94,2024-06-27,$0.28,2.08%,18.49,0.79,207,5.02%,40%,20%,1099,$43.99,$45.62,$45.03,$45.45,62.86,B+,A,B-,C,A-,A-,B,6.84,71.63%,62.35%,288.32,11.30%,5.77%
VONV,Vanguard Russell 1000 Value ETF,"$9,419,220",15.02%,"313,858",$82.66,-0.65%,0.52%,1.30%,26.13%,7.70%,10.36%,"$289,061,250.00",$0.00,"$10,124,750.00","$1,076,529,500.00","$1,476,868,352.75","$4,956,852,517.75",Large Cap Blend Equities,2010-09-20,0.08%,Vanguard,$1.57,2024-06-27,$0.39,1.90%,15.70,0.95,877,17.48%,40%,20%,1099,$80.02,$83.63,$82.36,$83.14,60.74,A,A,A,B-,B,B+,A,6.46,15.51%,46.81%,169.34,12.57%,4.13%
MGV,Vanguard Mega Cap Value ETF,"$8,462,030",18.01%,"199,975",$127.52,-0.62%,0.51%,1.41%,27.70%,11.09%,12.34%,"$769,025,000.00","-$153,682,000.00","$99,481,500.00","$958,861,872.55","$2,289,249,809.81","$3,437,150,306.90",Large Cap Blend Equities,2007-12-17,0.07%,Vanguard,$2.89,2024-06-27,$0.73,2.25%,16.20,0.86,136,28.19%,40%,20%,1099,$123.73,$128.98,$127.08,$128.16,60.47,A,A-,A,B,A-,A-,B,6.46,15.72%,46.91%,140.73,15.03%,1.68%
PRF,Invesco FTSE RAFI US 1000 ETF,"$7,342,260",15.63%,"276,109",$40.16,-0.62%,0.68%,1.37%,28.83%,9.51%,13.55%,"-$100,369,250.00","-$5,674,480.00","-$636,730.00","-$99,842,660.00","$514,647,710.00","-$766,390,600.00",Large Cap Blend Equities,2005-12-19,0.39%,N/A,$0.70,2024-09-23,$0.19,1.74%,13.29,1.00,1006,17.36%,40%,20%,1099,$38.68,$40.69,$40.04,$40.34,59.27,A-,A,B,B-,B,B,A,6.44,14.09%,46.29%,162.7,11.41%,3.15%
DUHP,Dimensional US High Profitability ETF,"$6,858,830",19.16%,"727,831",$33.80,-0.32%,1.29%,1.77%,33.61%,N/A,N/A,"$1,883,862,451.07","$38,821,639.55","$130,250,502.05","$2,552,942,941.07","$5,426,330,186.07","$5,426,330,186.07",Large Cap Blend Equities,2022-02-23,0.21%,N/A,$0.42,2024-09-17,$0.10,1.24%,0.00,0.98,179,37.68%,40%,20%,1099,$32.35,$34.17,$33.72,$33.93,60.51,A,A,A-,A-,B,A-,N/A,7.46,96.44%,86.39%,82.79,4.32%,5.55%
SPYD,SPDR Portfolio S&P 500 High Dividend ETF,"$6,762,400",18.72%,"1,116,942",$45.08,-0.68%,-0.24%,2.11%,35.12%,9.27%,8.72%,"-$1,018,855,709.60","$75,404,857.55","$104,655,212.70","-$1,000,528,383.20","$1,331,290,328.85","$4,082,413,247.35",Large Cap Blend Equities,2015-10-21,0.07%,N/A,$1.85,2024-09-20,$0.46,4.08%,11.68,0.99,82,14.19%,40%,20%,1099,$43.79,$45.70,$44.90,$45.37,64.10,B+,A,A,C,C,A,C+,6.74,50.38%,57.98%,448.91,17.15%,7.15%
VOOV,Vanguard S&P 500 Value ETF,"$5,223,750",13.75%,"99,052",$189.16,-0.65%,0.22%,0.92%,29.42%,11.70%,12.92%,"$527,954,350.00","$3,758,200.00","$26,124,600.00","$741,733,100.00","$1,789,357,850.00","$2,690,425,600.00",Large Cap Blend Equities,2010-09-07,0.10%,Vanguard,$3.36,2024-06-28,$0.99,1.77%,19.30,0.94,440,19.66%,40%,20%,1099,$184.75,$191.40,$188.48,$190.36,59.04,A,A-,A,A,B-,A-,B+,6.57,25.41%,50.69%,166.2,13.29%,3.42%
OMFL,Invesco Russell 1000 Dynamic Multifactor ETF,"$5,149,450",3.98%,"700,588",$52.87,-0.02%,1.90%,2.59%,18.13%,5.11%,13.19%,"-$543,852,070.00","-$134,504,990.00","-$308,558,100.00","-$127,225,570.00","$2,959,055,500.00","$3,007,274,340.00",Large Cap Blend Equities,2017-11-08,0.29%,N/A,$0.70,2024-09-23,$0.11,1.33%,10.26,0.98,250,42.45%,40%,20%,1099,$49.96,$53.40,$52.76,$52.99,60.43,A,A,B+,A,B+,B-,N/A,6.6,29.24%,51.85%,175.56,6.07%,5.01%
ACWV,iShares MSCI Global Min Vol Factor ETF,"$4,426,610",14.61%,"166,091",$114.02,-0.51%,0.84%,0.95%,21.74%,4.97%,6.01%,"-$315,529,830.00","-$56,865,550.00","-$56,865,550.00","-$813,425,440.00","-$1,124,304,110.00","-$1,968,805,370.00",Large Cap Blend Equities,2011-10-18,0.20%,N/A,$2.47,2024-06-11,$0.91,2.16%,16.46,0.62,389,13.76%,40%,20%,1099,$111.78,$114.71,$113.75,$114.49,61.88,A-,A-,A-,C,A,B,B+,6.56,14.74%,50.13%,236.06,6.38%,7.77%
DLN,WisdomTree U.S. LargeCap Dividend Fund,"$4,306,310",18.80%,"104,649",$77.81,-0.63%,0.75%,1.37%,29.19%,10.90%,12.34%,"-$22,290,235.00","-$7,798,770.00","$19,188,020.00","-$49,013,475.00","$280,304,165.00","$610,848,075.00",Large Cap Blend Equities,2006-06-16,0.28%,E*TRADE,$1.59,2024-08-27,$0.14,2.03%,15.30,0.89,306,27.22%,40%,20%,1099,$75.26,$78.67,$77.60,$78.13,61.35,A-,A-,B+,B-,A-,A-,B,6.72,54.24%,57.27%,134.81,8.89%,3.57%
RWL,Invesco S&P 500 Revenue ETF,"$3,780,820",15.07%,"121,585",$97.12,-0.56%,0.42%,1.08%,26.42%,11.13%,14.51%,"$918,922,575.00","$43,992,675.00","$103,960,400.00","$1,184,737,000.00","$2,063,732,000.00","$1,907,574,825.00",Large Cap Blend Equities,2008-02-19,0.39%,N/A,$1.42,2024-09-23,$0.36,1.46%,13.46,0.98,505,22.81%,40%,20%,1099,$94.01,$98.29,$96.79,$97.54,58.47,A-,A-,B+,B,B+,B,A-,6.5,19.02%,48.28%,112.0,11.66%,2.16%
FDVV,Fidelity High Dividend ETF,"$3,632,980",21.52%,"390,778",$50.31,-0.36%,1.36%,1.87%,34.93%,13.81%,14.71%,"$1,074,167,746.75","$25,117,344.50","$150,819,490.80","$1,290,255,065.20","$1,854,708,875.00","$2,427,948,180.00",Large Cap Blend Equities,2016-09-12,0.15%,N/A,$1.41,2024-09-20,$0.30,2.80%,9.77,1.01,108,30.49%,40%,20%,1099,$48.21,$50.69,$50.12,$50.57,62.48,A-,A-,A,B+,B,A,B-,6.92,78.70%,65.99%,280.81,23.49%,6.28%
DIVO,Amplify CWP Enhanced Dividend Income ETF,"$3,587,720",15.58%,"244,182",$40.91,-0.61%,0.94%,2.04%,22.87%,9.71%,11.51%,"$214,736,000.00","$28,739,000.00","$60,905,000.00","$229,718,000.00","$2,452,018,000.00","$3,078,269,000.00",Large Cap Blend Equities,2016-12-14,0.56%,N/A,$1.81,2024-08-29,$0.16,4.39%,0.07,0.77,29,52.30%,40%,20%,1099,$39.47,$41.29,$40.76,$41.14,61.97,B+,A,B-,B-,A-,A,C,6.78,56.39%,59.71%,73.71,5.55%,0.10%
KNG,FT Vest S&P 500 Dividend Aristocrats Target Income ETF,"$3,391,750",11.17%,"293,714",$54.21,-0.44%,0.59%,1.99%,18.73%,6.45%,9.74%,"$1,300,006,350.00","$10,829,500.00","$107,082,250.00","$1,867,019,750.00","$2,962,898,800.00","$3,176,879,850.00",Large Cap Blend Equities,2018-03-26,0.75%,N/A,$4.50,2024-08-21,$0.38,8.27%,0.04,0.88,68,16.94%,40%,20%,1099,$52.74,$54.64,$54.02,$54.51,62.81,A-,A-,C+,B-,A-,A,N/A,6.83,60.90%,61.96%,132.09,4.48%,4.92%
IWX,iShares Russell Top 200 Value ETF,"$3,195,890",15.41%,"261,932",$80.24,-1.04%,0.27%,0.79%,24.22%,8.22%,10.31%,"$1,072,602,251.35","$4,039,054.60","$800,830,256.90","$1,034,948,220.35","$1,590,924,875.80","$2,084,592,870.80",Large Cap Blend Equities,2009-09-22,0.20%,N/A,$1.58,2024-06-11,$0.35,1.95%,15.43,0.89,159,26.29%,40%,20%,1099,$78.48,$81.33,$79.95,$80.70,57.78,A-,A-,A-,B,B+,B+,B-,6.36,10.01%,44.06%,165.09,15.52%,2.97%
PTLC,Pacer Trendpilot US Large Cap ETF,"$3,122,910",20.64%,"148,863",$52.20,-0.34%,1.75%,2.41%,32.69%,11.33%,12.21%,"$156,515,000.00","$7,840,000.00","$23,156,500.00","$266,485,500.00","$395,585,395.00","-$559,569,105.00",Large Cap Blend Equities,2015-06-11,0.60%,N/A,$0.51,2023-12-27,$0.51,0.98%,0.05,0.53,504,34.46%,40%,20%,1099,$49.48,$52.73,$52.09,$52.35,60.88,B+,A-,B-,B+,B,C+,A,6.7,48.29%,56.20%,96.73,10.88%,7.32%
XYLD,Global X S&P 500 Covered Call ETF,"$2,866,520",12.78%,"428,406",$41.41,0.05%,0.58%,1.61%,17.69%,4.69%,6.79%,"-$67,480,914.63","$19,360,951.23","$36,140,588.57","-$162,116,935.67","$2,591,801,984.63","$3,018,118,161.97",Large Cap Blend Equities,2013-06-24,0.60%,N/A,$3.83,2024-09-23,$0.34,9.26%,0.03,0.72,505,35.02%,40%,20%,1099,$40.25,$41.56,$41.34,$41.44,65.68,A+,A-,A,B-,B+,A+,N/A,6.7,77.33%,56.00%,96.57,10.88%,7.31%
DIHP,Dimensional International High Profitability ETF,"$2,802,780",8.52%,"558,137",$27.39,-0.44%,1.71%,-0.43%,21.12%,N/A,N/A,"$958,012,718.74","$14,931,745.67","$104,245,105.04","$1,108,462,378.74","$2,479,223,268.74","$2,479,223,268.74",Large Cap Blend Equities,2022-03-23,0.29%,N/A,$0.56,2024-09-17,$0.10,2.05%,0.00,-1.00,482,21.29%,40%,20%,1099,$26.40,$27.81,$27.32,$27.51,55.65,A,A,B+,A,C+,A-,N/A,7.59,46.52%,89.61%,90.33,13.35%,6.38%
LRGF,iShares US Equity Factor ETF,"$2,162,000",21.71%,"98,045",$58.43,-0.53%,1.42%,2.22%,37.14%,11.90%,14.54%,"$232,612,341.60","$1,894,714.50","-$6,479,461.65","$273,522,252.80","$421,359,445.45","$384,181,860.45",Large Cap Blend Equities,2015-04-28,0.08%,N/A,$0.71,2024-06-11,$0.15,1.21%,16.51,0.98,278,31.59%,40%,20%,1099,$55.25,$59.23,$58.32,$58.59,59.81,A-,A-,A,A-,B-,B-,B,6.83,70.57%,61.94%,80.75,5.45%,6.37%
SPYI,NEOS S&P 500 High Income ETF,"$1,998,030",14.80%,"613,140",$51.02,-1.10%,0.43%,1.23%,21.97%,N/A,N/A,"$1,363,054,273.00","$49,925,138.00","$126,949,552.00","$1,577,434,382.00","$1,918,348,933.33","$1,918,348,933.33",Large Cap Blend Equities,2022-08-29,0.68%,N/A,$5.96,2024-08-21,$0.56,11.69%,0.05,0.79,505,34.67%,40%,20%,1099,$49.30,$51.81,$50.92,$51.14,57.11,A,A,B-,N/A,B+,A,N/A,6.69,71.25%,55.65%,94.21,10.91%,7.29%
SECT,Main Sector Rotation ETF,"$1,856,800",14.71%,"89,857",$53.34,-0.35%,2.04%,1.63%,28.25%,9.02%,13.97%,"$139,258,500.00",$0.00,"-$26,778,500.00","$250,849,500.00","$515,829,500.00","$728,701,500.00",Large Cap Blend Equities,2017-09-05,0.77%,N/A,$0.19,2024-09-19,$0.01,0.37%,0.04,0.94,16,94.97%,40%,20%,1099,$49.93,$54.23,$53.20,$53.54,57.47,B+,A-,C+,B+,B+,B-,N/A,6.49,18.06%,47.91%,58.5,2.42%,9.53%
GUSA,Goldman Sachs MarketBeta U.S. 1000 Equity ETF,"$1,772,170",20.32%,268,$49.29,-0.20%,1.72%,2.41%,35.18%,N/A,N/A,"$1,227,900.00",$0.00,$0.00,"$14,500.00","$1,929,500.00","$1,929,500.00",Large Cap Blend Equities,2022-04-05,0.11%,N/A,$0.59,2024-09-24,$0.14,1.19%,19.57,1.01,1011,31.30%,40%,20%,1099,$46.55,$49.86,$49.26,$49.34,61.72,B,C,A,B+,B-,N/A,N/A,6.64,34.19%,53.07%,94.86,9.83%,7.03%
NULV,Nuveen ESG Large-Cap Value ETF,"$1,739,290",14.73%,"93,088",$41.20,-0.51%,0.41%,2.49%,25.61%,5.60%,8.41%,"$18,730,816.13",$0.00,"$2,325,423.87","-$39,737,363.87","$484,157,626.13","$1,311,767,171.13",Large Cap Blend Equities,2016-12-13,0.26%,N/A,$0.92,2023-12-14,$0.92,2.22%,16.65,0.92,106,20.83%,40%,20%,1099,$39.57,$41.74,$41.07,$41.40,62.27,B,A-,A-,C,B+,B-,B-,7.72,98.69%,92.19%,60.45,3.04%,4.14%
HELO,JPMorgan Hedged Equity Laddered Overlay ETF,"$1,587,830",15.23%,"278,925",$60.71,-0.02%,1.27%,1.60%,N/A,N/A,N/A,"$1,278,040,750.00","$46,976,000.00","$170,412,750.00","$1,450,983,250.00","$1,450,983,250.00","$1,450,983,250.00",Large Cap Blend Equities,2023-09-29,0.50%,N/A,$0.32,2024-09-24,$0.08,0.53%,N/A,N/A,168,36.42%,40%,20%,1099,$58.59,$61.05,N/A,N/A,63.63,B+,A,B+,N/A,C+,B-,N/A,6.68,73.55%,55.21%,105.31,10.28%,8.81%
DTD,WisdomTree U.S. Total Dividend Fund,"$1,333,250",17.58%,"21,594",$75.82,-0.75%,0.58%,1.15%,28.79%,10.66%,11.82%,"$10,551,135.00",$0.00,"$11,109,045.00","-$4,280,355.00","$100,539,145.00","$179,895,755.00",Large Cap Blend Equities,2006-06-16,0.28%,E*TRADE,$1.60,2024-08-27,$0.14,2.09%,14.32,0.91,823,23.69%,40%,20%,1099,$73.23,$76.83,$75.60,$76.22,59.85,A-,B+,B+,B-,B+,A-,A,6.59,32.33%,51.39%,153.49,8.59%,3.77%
PTNQ,Pacer Trendpilot 100 ETF,"$1,306,520",11.74%,"44,558",$73.00,-0.12%,1.84%,1.96%,21.14%,9.39%,15.98%,"$71,863,000.00",$0.00,"$3,542,000.00","$158,073,000.00","$244,288,000.00","$138,531,000.00",Large Cap Blend Equities,2015-06-11,0.65%,N/A,$0.96,2023-12-27,$0.96,1.32%,0.03,0.68,105,67.54%,40%,20%,1099,$69.90,$73.44,$72.91,$73.12,58.62,B-,A-,B-,A,C+,C,C+,6.39,0.00%,44.86%,59.3,3.92%,5.20%
FEX,First Trust Large Cap Core AlphaDEX Fund,"$1,269,030",15.28%,"20,451",$103.45,-0.53%,1.27%,2.23%,29.83%,6.87%,12.65%,"-$8,165,700.00","-$5,109,950.00","-$20,064,050.00","-$97,303,000.00","-$110,603,750.00","-$571,017,650.00",Large Cap Blend Equities,2007-05-08,0.60%,N/A,$1.17,2024-06-27,$0.26,1.13%,13.56,1.06,377,5.28%,40%,20%,1099,$98.31,$104.72,$103.13,$103.97,61.25,B-,B+,B-,C+,C+,C+,B+,6.53,21.06%,49.17%,223.58,9.80%,4.65%
PKW,Invesco BuyBack Achievers™ ETF,"$1,189,040",14.66%,"14,366",$112.73,-0.46%,1.03%,2.05%,27.58%,8.15%,14.03%,"-$35,413,860.00","-$1,129,790.00","-$13,050.00","-$791,255,260.00","-$429,781,320.00","-$464,125,410.00",Large Cap Blend Equities,2006-12-20,0.61%,Charles Schwab,$1.15,2024-09-23,$0.23,1.02%,11.06,1.09,198,40.97%,40%,20%,1099,$106.93,$114.32,$112.51,$113.12,62.51,B+,A-,B-,A-,C+,B-,B+,6.33,8.92%,43.34%,173.85,7.25%,1.69%
VFLO,VictoryShares Free Cash Flow ETF,"$966,842",17.32%,"343,208",$32.95,-0.96%,0.06%,0.31%,28.94%,N/A,N/A,"$776,318,277.82","$14,009,345.41","$76,851,028.38","$804,484,233.82","$890,576,456.82","$890,576,456.82",Large Cap Blend Equities,2023-06-21,0.39%,N/A,$0.41,2024-09-11,$0.06,1.24%,N/A,N/A,51,31.91%,40%,20%,1099,$31.59,$33.69,$32.82,$33.17,56.72,N/A,N/A,B,N/A,N/A,N/A,N/A,6.86,73.34%,63.08%,99.3,1.92%,6.22%
TSPA,T. Rowe Price U.S. Equity Research ETF,"$934,311",21.97%,"146,158",$35.86,-0.22%,1.85%,2.08%,37.27%,11.45%,N/A,"$761,225,682.48","$5,676,523.84","$129,444,077.66","$817,866,620.44","$828,665,897.02","$832,578,500.19",Large Cap Blend Equities,2021-06-08,0.34%,N/A,$0.12,2023-12-20,$0.12,0.34%,2.08,1.00,350,35.16%,40%,20%,1099,$34.01,$36.22,$35.78,$35.98,60.44,B,C+,B+,A,B-,C,N/A,6.61,30.50%,52.17%,89.88,10.25%,8.04%
FTHI,First Trust BuyWrite Income ETF,"$923,127",14.83%,"226,992",$23.12,-0.17%,1.14%,1.94%,23.69%,10.71%,7.63%,"$493,340,700.00","$10,398,400.00","$58,005,200.00","$601,668,100.00","$817,396,965.00","$791,491,000.50",Large Cap Blend Equities,2014-01-06,0.75%,N/A,$1.93,2024-08-21,$0.17,8.36%,15.71,0.72,172,34.01%,40%,20%,1099,$22.27,$23.26,$23.08,$23.16,63.00,A-,A-,C+,B+,A,A,C+,6.38,64.74%,44.84%,179.39,11.08%,7.59%
